dc:identifier,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,citedby-count,affiliation,subtypeDescription,abstract
105001693051,Dynamic mining of multimedia marketing information for products under the background of data driven,Liu Y.,International Journal of Networking and Virtual Organisations,2025-01-01,10.1504/IJNVO.2025.145377,0,Loudi Vocational and Technical College,Article,"Copyright © 2025 Inderscience Enterprises Ltd.In order to solve the problems of low mining coverage and low product conversion rate in traditional marketing information dynamic mining methods, a new dynamic mining method of multimedia marketing information for products under the background of data driven is proposed. Using web crawler technology to crawl multimedia marketing information data of products, and extracting data features through sliding clustering. By using fuzzy clustering algorithm to perform fuzzy clustering on data features, a clustering dataset item set is constructed and merged into an item set to assign weights. Combined with association rules, dynamic mining of multimedia marketing information for products is achieved. Experimental results have shown that the mining coverage rate of this method is 91~97%, and the product conversion rate is 19.1% when the data volume is 8000. The mining coverage rate and product conversion rate are both at a high level, and the mining effect is good."
105004212607,Echoes of Privacy: Deciphering Consumer Voices in the Data Deluge,Masteri Farahani M.,Journal of Consumer Behaviour,2025-01-01,10.1002/cb.2495,0,Allameh Tabataba'i University,Article,"© 2025 John Wiley & Sons Ltd.As technology evolves, balancing product and service personalization with privacy protection remains a critical challenge for businesses and consumers. So, researchers have raised concerns about the potential negative effects of data-driven marketing. This study embarks on a journey to unravel the intricacies of consumer attitudes toward privacy within data-centric marketing. Our research design is underpinned by a mixed methodology that uses qualitative and quantitative research methods. Initially, we presented text mining of Iranian tweets on X (Twitter). Subsequently, we expounded upon the intricacies of the structural equation model and the clustering process. The research findings highlight cultural disparities in attitudes toward privacy and collectivist countries such as Iran prioritize privacy vigilance, as they are meticulous about information disclosure. Notably, Iranians of varying genders, ages, and educational backgrounds displayed distinct levels of privacy apprehension. Based on the text of Twitter data mining, data confidentiality stands as the paramount pillar of data privacy, and they have expressed dissatisfaction with things like “Leakage of information and sale of users' data” and “Hacking the data of an online business”. Also, four clusters were identified for privacy in data-driven marketing: (1) Privacy Balancers, (2) Privacy Guardians, (3) Privacy Nomads, and (4) Privacy Advocates. Finally, suggestions were presented to businesses and policymakers. Especially, businesses can use gamification techniques such as interactive challenges to engage customers in reading and understanding privacy policies."
86000792969,Application of autonomous intelligent customer behavior prediction model based on deep learning in retail marketing strategy optimization,Si Z.,Edelweiss Applied Science and Technology,2025-01-01,10.55214/25768484.v9i3.5256,0,"Lincoln University College, Malaysia",Article,"© 2025 by the authors.This study aims to develop and evaluate a deep learning-based autonomous intelligent system for customer behavior prediction and marketing strategy optimization in the retail sector. A hybrid architecture combining Long Short-Term Memory (LSTM) networks with Transformer models in a multi-task learning framework was designed. Evaluation included offline cross-validation and online A/B testing using 1.5 million customer interactions, followed by a 12-month case study implementation in a multinational e-commerce platform. The model achieved a 15% increase in AUC-ROC for purchase prediction and a 22% improvement in Mean Average Precision for product recommendations compared to state-of-the-art benchmarks. The case study revealed substantial enhancements in click-through rates (35%), conversion rates (28%), and customer retention (22%). The hybrid LSTM-Transformer model with a multi-task learning framework significantly outperforms traditional methods, demonstrating the effectiveness of deep learning for customer behavior prediction and marketing optimization. Retailers can leverage this system to enhance personalized recommendations, optimize pricing strategies, and improve customer engagement, resulting in measurable business performance improvements across diverse retail segments."
105002990292,Data-driven review of customer engagement: key research themes and future directions,Zang L.,Electronic Commerce Research,2025-01-01,10.1007/s10660-025-09967-1,0,Qufu Normal University,Article,"© The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.Customer engagement has garnered significant attention in recent years. It is important to synthesize the extant literature on the field to identify key themes and navigate potential future directions. This study introduces a scalable, data-driven review using text mining and Latent Dirichlet Allocation-based topic modeling to analyze full-text documents, addressing limitations of traditional methods like manual coding and bibliographic analysis. We examined 2,419 papers from 2006 to 2024, identifying 11 key research themes: value co-creation, corporate sustainability, loyalty in service contexts, mobile applications, user-generated content, artificial intelligence, experience-intensive industries, tourism destination posts, virtual reality, digital gamification, and online communities. Five future research directions are proposed, focusing on customer engagement integration with emerging technologies, sustainable marketing, digital-X applications, and customer relationship ecosystems."
105000135649,A case study on how Amazon uses personalization to win back Prime subscription lapsers,Davidson J.D.,Journal of Information Technology Teaching Cases,2025-01-01,10.1177/20438869251325244,0,SRM Institute of Science and Technology,Article,"© Association for Information Technology Trust 2025.Amazon Prime, launched in 2005, is a subscription membership program that offers benefits like accelerated shipping, streaming media access, exclusive shopping discounts, and premium services. With over 200 million subscribers worldwide by 2023, it has significantly enhanced Amazon’s revenue and customer loyalty. To mitigate Amazon Prime subscription lapses, Amazon uses AI-driven personalization strategies and targeted re-engagement campaigns. Amazon Prime lapsers are influenced by factors such as price sensitivity, subscription fatigue, underutilization of benefits, seasonal shopping, competitive alternatives, and service dissatisfaction. To re-engage lapsed Prime subscribers, Amazon employs a data-driven personalization strategy leveraging AI, machine learning, and customer analytics. This includes personalized marketing techniques, content curation, regional customization, and continuous feedback analysis. Amazon’s personalization strategy is expected to evolve as technology advances, focussing on advanced AI, real-time personalization, and ethical data management. This will enhance customer retention and engagement while shaping the future of subscription-based services like Amazon Prime. Key future trends include advanced AI and predictive analytics, hyper-personalization and real-time adjustments, ethical personalization and privacy compliance, and sustainability in subscription engagement. By continuously evolving AI-powered recommendations, dynamic offers, and user-driven customization, Amazon will solidify its competitive edge in the subscription economy while maintaining consumer trust and environmental responsibility. This case study aims to explore Amazon’s AI-based personalization strategies for re-engaging with inactive Prime subscribers. It examines customer retention strategies, predictive analytics, localized personalization, ethical implications, and emerging trends that provide insights into enhancing subscription loyalty and customer lifetime value."
85216730989,FoodWise: the culinary conundrum of multi-cuisine restaurants,Sarkar S.,Emerald Emerging Markets Case Studies,2025-01-01,10.1108/EEMCS-07-2024-0309,0,"XLRI, Jamshedpur",Article,"© 2025, Emerald Publishing Limited.Learning outcomes: This case serves as a teaching tool to illustrate the application of data-driven decision-making approaches within the contexts of entrepreneurship and hospitality management. The following objectives also align with categories in Bloom’s taxonomy (keywords underlined).▪ Evaluate the merits and demerits of potential business decisions through a data-driven analytical framework. This objective maps to discussion Question 3, 4, 5.▪ Evaluate the relevance and usability of available data and market research reports for effective data-driven decision-making. This objective maps to discussion Question 2.▪ Analyze business data and financial reports to evaluate business strategies such as marketing, vendor management and workforce management strategies. This objective maps to discussion Question 1.▪ Apply industry-specific business metrics such as the Menu engineering matrix to analyze the performance of menu offerings. This objective maps to discussion Question 5. Case overview/synopsis: The decision-based case explores the challenges faced by Siddhartha Das, the founder of FoodWise Pvt Ltd, a multi-cuisine restaurant based out of Kolkata, India. Das initially launched an online Bengali meal delivery service in 2017, which successfully expanded into an offline multi-cuisine retail outlet by October 2019. However, the COVID-19 pandemic dealt a significant blow to his business, preventing it from achieving profitability. The case is set in July 2021, where Das reviews his half-yearly performance report recognizing the imminent risks threatening his food venture unless immediate changes are undertaken. The multi-cuisine nature of his restaurant business necessitated higher expenditures on specialty chefs and costly vendors to maintain premium food quality. Faced with a dilemma, Das must decide whether to continue with the current multi-cuisine model and find ways to manage costs or to evaluate the performance of his six cuisines and consider switching his venture to a specialized cuisine restaurant. The case invites students to assist Das in making a data-driven strategic decision by using Menu Engineering and exploratory data analysis techniques. Complexity academic level: This case study is designed for master’s level students in business management, with specializations in marketing, strategy or business analytics, as well as for students in specialized management programs in hospitality or entrepreneurship. It can also be included in management development programs on data-driven decision-making. It is particularly well-suited for management elective courses on hospitality management or entrepreneurship. The case can be positioned in the second half of the course, once students have been exposed to financial reporting and data analysis techniques. Topics such as menu engineering and data-driven decision-making can be effectively explored through this case. Supplementary material: Teaching notes are available for educators only. Subject code: CSS 12: Tourism and Hospitality."
85183864182,Exploring the complementary effects of business analytics capabilities and π-shaped skills on innovation outcomes,Abubakar A.M.,European Journal of Information Systems,2025-01-01,10.1080/0960085X.2024.2304030,3,Antalya Bilim University,Article,"© The Operational Research Society 2024.While it is clear that business analytics (BA), on average, adds value to firms, it is less clear why some firms perform better than others in leveraging their data assets. To a large degree, prior research has attributed such differences to the human factor. Nevertheless, there is still limited knowledge concerning what impact competencies of key personnel have on generating value from BA initiatives, and to what extent such outcomes complement a firm’s investment in BA. To examine these questions, this study explores the complementary relationship between BA capabilities and π-shaped skills. It posits that the concurrent presence of both indirectly influences innovation outcomes by fostering a data-driven culture. We build on a sample of 185 individuals with supervisory positions in Turkey to unpack this process. The findings revealed that BA capabilities and π-shaped skills influence a firm’s data-driven culture, which in turn impacts the firms’ marketing innovation, and subsequently its innovative performance. That is, data-driven culture and firms’ marketing innovation are relevant underlying serial mechanisms by which BA capabilities and π-shaped skills influence innovative performance."
105003142774,Data-Driven Uplift Modeling,Zahid A.,IEEE Access,2025-01-01,10.1109/ACCESS.2025.3557468,0,Information Technology University,Article,"© 2013 IEEE.Uplift modeling studies the impact of different treatments on an outcome and has several applications, such as targeted marketing and medical therapy assessment. Usually, such studies are retrospective in nature rather than controlled experiments; hence, pre-existing bias in the observed data can distort the true effect of treatment. Previous studies on uplift modeling has largely overlooked this bias, focusing instead on model-based solutions for specific applications. In this paper, we introduce a new data-driven framework for uplift modeling based on matching. We represent individuals in treatment and control groups using weighted bipartite graphs, and bipartite graph matching is then employed to retain similar individuals, thereby reducing bias. Subsequently, appropriate datasets are generated from the matched pairs for learning predictive models for individuals. Our proposed model-independent framework facilitates robust inferences, making it adaptable to a wide range of applications and settings. In particular, we demonstrate how uplift modeling can be applied to discrimination discovery and prevention in discrimination-aware data mining. We evaluate our framework on three datasets representing three different applications. The results reveal that our framework produces better prediction performances in comparison to others and is easy to apply in practice."
105003013068,Advances in Data-Driven Marketing Technologies: A Bibliometric Analysis of Indonesian Research Trends,Paramitra Y.,Journal of Applied Science Engineering Technology and Education,2024-12-31,10.35877/454RI.asci3811,0,Faculty of Economics and Business,Article,"© 2024, PT Mattawang Mediatama Solution. All rights reserved.Indonesia, the largest economy in Southeast Asia, has experienced an increase in need for innovative, data-driven marketing research given its fast economic expansion. Business strategy and decision making depend on this study as it let companies adjust to the specificities of local markets affected by socioeconomic, technological, and demographic variables. This study aims to assess the direction and breadth of the research as well as identify any knowledge gaps or underutilized studies in the field of marketing, especially in Indonesia. Bibliometrics is the technique utilized by means of data analysis drawn from the Scopus database in January 2024. Ratih Hurriyati of the Indonesian Education University, with 11 publications to her credit and 209 citations to her works, is the most active writer in this area. The results show the key trends in Indonesian marketing research. Apart from that, the “International Journal of Data and Network Science” is the most often published journal source with 36 papers altogether. Particularly in relation to the use of digital technology to improve consumer satisfaction and promote loyalty in innovative markets, these findings provide new ideas for policy development and more research. Marketing research done in Indonesia has a huge possibility to considerably add to the literature in the globe when one considers both local and global dynamics."
85211160093,Everything is media: A new approach to media and storytelling in the new digital era,Weinpress A.,Journal of Brand Strategy,2024-12-01,10.69554/CRHS5776,0,Weinpress Marketing,Article,"© Alon Weinpress, 2024.In today’s digital age, where consumers are bombarded with messages and have short attention spans, brands face the challenge of standing out. This paper proposes a paradigm shift for brands: viewing every interaction as a potential media opportunity. Drawing from case studies like Nike, Stella Artois and Glassdoor, it illustrates how brands can leverage routine interactions with their target audiences to craft compelling narratives, adapting to evolving consumer expectations. This paper suggests a practical model for identifying and maximising these media touchpoints, emphasising the importance of storytelling and authenticity. As technologies like artificial intelligence (AI) continue to evolve, the role of branding and marketing is poised for transformation, with new possibilities emerging to engage audiences in innovative ways."
85213257641,The Role of Marketing Artificial Intelligence in Enhancing Sustainable Financial Performance of Medium-Sized Enterprises Through Customer Engagement and Data-Driven Decision-Making,Magableh I.K.,Sustainability Switzerland,2024-12-01,10.3390/su162411279,4,Arab Planning Institute,Article,"© 2024 by the authors.This study aims to examine the impact of marketing artificial intelligence (AI) and the specific channels it uses to influence the performance of Jordanian SMEs. In contrast to prior research that focused solely on the direct effects of marketing AI on organizational performance, our study introduces innovative pathways involving customer engagement, customer satisfaction, and data-driven decision-making. These channels serve as indirect mechanisms through which the impact of marketing AI extends to influence the Sustainable Financial Performance of SMEs. Using a framework for structural equation modeling, we looked at the answers of 250 small and medium-sized enterprises (SMEs) chosen through cluster sampling from industrially active areas in Jordan. Our findings reveal that the adoption of AI technologies leads to a notable 42.5% enhancement in Sustainable Financial Performance among SMEs, driven by a 50% increase in customer engagement and a 76% improvement through data-driven decision-making processes. While our study did not establish a direct correlation between marketing AI and long-term financial performance, it demonstrated the connection between technology adoption, customer-focused strategies, and data-driven practices. The findings offer actionable insights and recommendations for Jordanian SMEs leveraging marketing AI to achieve competitive advantage and sustainable growth. The study offers significant contributions to how marketing AI improves the Sustainable Financial Performance of Jordanian SMEs by identifying crucial indirect pathways. Unlike previous studies, it focuses on the roles of customer engagement, satisfaction, and data-driven decision-making as mediators rather than emphasizing direct impacts. The findings highlight the importance of integrating technology with customer-centric and data-oriented strategies to drive sustainable growth and competitiveness in SMEs."
85213395042,"The four Cs of B2B targeting: Using company, customer, channel and contextual data to shrink the audience bullseye",Diorio S.,Applied Marketing Analytics,2024-12-01,10.69554/ZUBN7528,0,Revenue Enablement Institute,Article,"© 2024, Henry Stewart Publications. All rights reserved.The combination of highly focused audience populations and much more precise industry, account and buyer persona-based segments make using deterministic approaches to plan, target, deploy and optimise media and marketing programmes in a business-to-business (B2B) environment a major challenge. Recent media benchmarking data confirms that hyper-pareto economics of audience targeting in B2B marketing can dramatically improve the yield and business impact of investments in paid, owned, earned and shared media programmes. This paper builds on existing academic research into audience targeting by adding qualitative interviews with 100 B2B marketing leaders and specific case examples from Terminus to examine how leading marketers are using probabilistic analytical approaches to shrink the audience bullseye and improve the business impact of media. The paper explores how B2B marketers are taking advantage of advances in analytics and artificial intelligence (AI) to combine company, customer, channel and context data from a variety of internal and external sources to model highly targeted and accurate audiences and segments. It provides a blueprint for how the best marketers are using internal company, opportunity and sales coverage data from customer relationship management (CRM) and first party customer engagement data from paid, owned, earned and shared digital marketing channels as the foundation for targeting audiences and identifying signals of interest, consideration, response and intent. It shows how marketers can further supplement this targeting data foundation with third party contextual data around account structures, audience graphs and buyer intent to continuously improve targeting accuracy with closed loop analysis of customer response data. Shrinking the audience bullseye in this manner allows marketers to improve the financial impact of marketing investments by a third or more, by targeting marketing programmes and resources to prospects in specific accounts, job roles and sales territories while zeroing in on the fraction of prospects who are actively in the market to buy at any time."
85205013894,An interpretable data-driven approach for customer purchase prediction using cost-sensitive learning,Xiao F.,Engineering Applications of Artificial Intelligence,2024-12-01,10.1016/j.engappai.2024.109344,1,Central South University,Article,"© 2024 Elsevier LtdCustomer purchase prediction can not only identify potential consumers but also help companies carry out related marketing activities based on the prediction results. In the field of marketing, ‘Buy till you die’ (BTYD) models are perhaps the most representative techniques for customer purchase prediction. Unlike BTYD models that rely more on probability distributions and a small number of input variables, machine learning models are a data-driven approach to extract information from a large number of input variables. To explore whether these two different classes of models can cross-fertilize each other, this paper incorporates Beta Geometric/Negative Binomial Distribution (BG/NBD) model into extreme gradient boosting (XGB) model to obtain the customer purchase predictions. To optimize profit-oriented decision-making, this study develops a profit-oriented XGB (POXGB) approach. This approach involves training a prediction model with the objective of directly maximizing the profit of downstream decision-making tasks. We conduct an empirical assessment of the prediction performance of BTYD modeling and machine learning with a real-world travel service purchase dataset. The integrative model shows a significant improvement over POXGB. This research contributes to the purchase forecasting literature and practical implications."
